Country,University,Program,Courses,Syllabus,Description of the program
Italy,Bocconi,Data Science and Business Analytics,Computer Science,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Statistics,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Machine Learning,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Business Analytics,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Marketing and Innovation,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Optimization,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Computer Science Algorithms,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Natural Language Processing,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Simulation and Modeling,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
Italy,Bocconi,Data Science and Business Analytics,Stochastic Processes,N/A,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work. This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be taught cutting edge techniques for extracting impactful information from large data sets and for effectively communicating them in order to influence the strategic decisions of the organizations where they will work.

KEY FACTS
2 exciting tracks in Data Science or Business Analytics
The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:

Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction
Develop advanced skills in Computer Science that are crucial for building algorithms and programming tools suited for the actual implementation of statistical methods
Develop a profile that combines solid quantitative skills with in-depth knowledge of corporate dynamics to support management in making strategic decisions grounded on data analysis
Develop competencies, via educational activities inside and outside the classroom, that promote teamwork skills, ability to present and discuss the results of one’s work effectively, and that promote understanding of ethical and legislative limits related to the use of large-scale databases

Upon the successful completion of this MSc program, students will have gained the necessary knowledge that makes them professional data scientists and business analysts who can readily contribute to companies, businesses and institutions operating in a data-driven society. They will also have built the required background for pursuing PhD programs in subject areas closely related to Data Science.The program is structured into two tracks sharing a modern quantitative core: Data Science and Business Analytics. They specifically pursue, to different extents, the following qualifying goals:Provide a strong foundation in theoretical and applied Statistics and in Machine Learning, that is essential for identifying effective models and methods for data analysis and prediction.Students will gain advanced and solid skills in the areas of Computer Science, Statistics, and Business Analytics, and will be introduced to tools and methodologies for collecting, processing, visualizing and analyzing large amounts of data (Big Data).

At the end of the first semester students will choose one of the two tracks: Data Science and Business Analytics. The Data Science track focuses on statistical and computational methods with strong emphasis on algorithms, mathematical optimization, modern stochastic modeling and machine learning. The Business Analytics track focuses on Natural Language Processing, mathematical modeling and simulations, Finance, and Social Network Analysis.
"
