"Titles","Abstracts"
"[PDF][PDF] The Impact of Technology on Contemporary Accounting: An ABCD Perspective","… and calculators have been used to assist in carrying out accounting activities for centuries … costs
in terms of their negative effects on a firm's brand image and legal liability … although not sufficient,
requirement for artificial intelligence/machine learning, blockchain, and data analytics … 
"
"Business intelligence & analytics in management accounting research: Status and future focus","… that although “there is potential for studying business intelligence solutions in … is linked to other
emerging technologies such as big data, machine learning and the Internet … Judgment and
decision-making”, “Databases”, and “Expert systems, artificial intelligence and decision-aids … 
"
"[PDF][PDF] Is India Digitally Prepared for International Trade?","… Data intelligence manifests itself in designing digital technologies like AI, robots, 3D printing,and … and Analytics Spending Guide, published by IDC, the Asia Pacific big data market will … In 2017,
the Association for the Advancement of Artificial Intelligence indicated a 13% growth … 
"
"[PDF][PDF] Bankruptcy risk prediction models based on artificial neural networks","… As part of the Artificial Intelligence, the neural networks are systems that use approximation
methods based … 31 December 2015 in Romania there were a number of 773781 active legal
entities … 978-0-9742114-1-1. Walczak, S.(2001)“An empirical analysis of data requirements for … 
"
"Influence of Artificial Intelligence on Activities and Competitiveness of an Organization","… view and edit this information), but also about the compliance with legal regulations (eg … Within
this group 85% of managers believe in the potential of artificial intelligence, 25% implement it …
The category of solutions integrating data from various sources (eg Twillio) and platforms … 
"
"Zero-Quartile Benchmarking “How To Prioritize Digital Technologies In A Companys™ Transformation Journey","… Cognitive capabilities are used by applying artificial intelligence (AI) such as machine learningor natural language … It should help to handle the growing amount of data (Agarwal and Dhar 2014)and goes beyond traditional – descriptive – business intelligence (BI), because … 
"
"Toward blockchain-based accounting and assurance","… of an ecosystem of emerging technologies that includes artificial intelligence, the Internet of … rules
encoded could effectively control the recording of accounting activities and, therefore, provide …intelligence to the accounting process by integrating Big Data and predictive analysis … 
"
"ICT Use, Investments in R&D and Workers' Training, Firms' Productivity and Markups: The Case of Ecuadorian Manufacturing","… that characterize firms from the point of view of locations (24 provinces), industries (12) and legal
forms (8 … network or business group, very likely due to the required software and hardware foraccounting activities and the more … 5 See the “Data” section above and Appendix 1 or 2 … 
"
"PROGRESSING TECHNOLOGY AND THE OBSOLESCENCE OF ACCOUNTANTS.","… According to the data, the number of tax returns professionally prepared has been … the prevalence
of technology that business owners and accountants use in daily accounting activities … Ms. Philipp's
research interest involves legal issues and regulatory compliance and their … 
"
"Big data in accounting","… Ernst &Young Limited (EY) is the third case study. Its scope of accounting activities includes:
advisory, assurance and tax services and as a result it demonstrates great scientific interest … BigData can be very … visual data analytics (Gepp et. al, 2018). Another suggestion is “meta … 
"
"… Criterion of Focus on the Students Benefiting in the Relationship between Adopting the Criterion of Partnership and Resources and Achieving Community Satisfaction …","… the environment, increasing local employment, enhancing value added, meeting legal and
regulatory requirements … This requires listening to and learning from students and beneficiaries,
establishing constructive relationships to … The questionnaire was used to collect data … 
"
"The International Conference'Education and Creativity for a Knowledge-Based Society'-Economic Sciences-XIth Edition","… is an aspect of economic life that reduces the population of a country or region due … In this study,
we aim to exemplify this phenomenon, which manifests itself more and more acutely … The data
provided by official statistics shows some alarming figures regarding this phenomenon … 
"
"Bits and bolts","… Real estate 68 Low Low Legal and accounting activities, etc … online renting of data or computing
capacities), as well as back and front office integration systems such as customer relationship
management (CRM), and enterprise resource planning (ERP) software. Page 14 … 
"
"[BOOK][B] The Routledge Companion to Accounting Information Systems","… interests include continuous auditing and monitoring, audit data analytics and artificial intelligence
in auditing … process management for AIS in the context of new legal requirements for … constituting
different decision-making environments and what they call data environments … 
"
"Semantic Technologies for Business Decision Support","… processed and incorporated into the company structure, with the support of linguistic rules on
the intelligence phase … development, as it takes advantage of other disciplines as MachineLearning, Artificial Intelligence and Cognitive Science … It relies on data stored in a database … 
"
