"Titles","Abstracts"
"A review and analysis of regression and machine learning models on commercial building electricity load forecasting","Electricity load forecasting is an important tool which can be utilized to enable effective control of commercial building electricity loads. Accurate forecasts of commercial building electricity loads can bring significant environmental and economic benefits by reducing …"
"Robust big data analytics for electricity price forecasting in the smart grid","Electricity price forecasting is a significant part of smart grid because it makes smart grid cost efficient. Nevertheless, existing methods for price forecasting may be difficult to handle with huge price data in the grid, since the redundancy from feature selection cannot be averted …"
"Big data analytics for discovering electricity consumption patterns in smart cities","New technologies such as sensor networks have been incorporated into the management of buildings for organizations and cities. Sensor networks have led to an exponential increase in the volume of data available in recent years, which can be used to extract consumption …"
"Drivers of domestic electricity users' price responsiveness: A novel machine learning approach","Time-based pricing for domestic electricity users has been effective in reducing peak demand and facilitating integration of renewable energies. However, high cost, price non-responsiveness and adverse selection present challenges. To tackle these challenges, it …"
"A two-stage supervised learning approach for electricity price forecasting by leveraging different data sources","Over the years, the growing penetration of renewable energy into the electricity market has resulted in a significant change in the electricity market price. This change makes the existing forecasting method prone to error, decreasing the economic benefits. Hence, more …"
"Multi-granular electricity consumer load profiling for smart homes using a scalable big data algorithm","With rising electricity prices, there is a need to give consumers greater control over their energy consumption. It is anticipated that such informed consumers in control of their consumption patterns will contribute to reduced energy usage and thus a sustainable …"
"Two-stage electricity demand modeling using machine learning algorithms","Forecasting of electricity demand has become one of the most important areas of research in the electric power industry, as it is a critical component of cost-efficient power system management and planning. In this context, accurate and robust load forecasting is supposed …"
"Day-ahead electricity consumption prediction of a population of households: analyzing different machine learning techniques based on real data from RTE in France","Forecasting of power consumption has been a topic of great interest for the stakeholders of electricity markets. It has an essential role in decision making, including purchasing and generating electric power, load switching, and demand side management. Different …"
"Climate adaptive response estimation: Short and long run impacts of climate change on residential electricity and natural gas consumption using big data","This paper proposes a simple two-step estimation method (Climate Adaptive Response Estimation-CARE) to estimate sectoral climate damage functions, which account for long-run adaptation. The paper applies this method in the context of residential electricity and natural …"
"HOME ELECTRICITY AUTOMATION VIA IoT: SMART MOBILE PHONE AND BEACON SUPPORTED PROGRAMMABLE HOME TYPE FUSE","In condition of fuse-blowing due to an undesired event (ie lightning) resulting to short circuit or leakage current on the electrical network system which electrical home appliances are connected to, check of the wiring and re-set of fuse become necessary. Otherwise …"
"Goal-based automation of peer-to-peer electricity trading","As the uptake of microgeneration increases, the centralised model of electricity generation will be significantly altered. One of the new models that is being investigated is the notion of a peer-to-peer electricity market in which prosumers can market their electricity exports to …"
"EMPOWERING, a smart Big Data framework for sustainable electricity suppliers","This paper presents the EMPOWERING project, a Big Data environment aimed at helping domestic customers to save electricity by managing their consumption positively. This is achieved by improving the information received about energy bills and offering online tools …"
"[PDF][PDF] Machine Learning Based Prediction of Wind Power Electricity Generation from Seasonal Climate Forecasts","… Institute for Sustainable Economic Development I Johann Baumgartner Status Quo and Aim <U+25AA>
Mainly conceptual models used for this purpose: <U+25AA> High model set up effort incl. bias correction <U+25AA>
Spatially separated interdependencies hard to model <U+25AA> Machine learning models so far only …"
"Multi-Objective Model for Fair Pricing of Electricity Using the Parameters from the Iran Electricity Market Big Data Analysis","Assessment of the electricity market shows that, electricity market data can be considered"" big data"". this data has been analyzed by both conventional and modern data mining methods. The predicted variables of supply and demand are considered to be the input of a …"
"Forecasting Residential Electricity Demand Through Machine Learning and Model Synthesis","This paper aims to develop a predictive model of residential electricity demand using techniques from statistical science, data analysis and econometrics. Residential energy intensity is investigated as a critical component of demand and evaluated as a predictor of …"
