"Titles","Abstracts"
"Big data in finance and the growth of large firms","Two modern economic trends are the increase in firm size and advances in information technology. We explore the hypothesis that big data disproportionately benefits big firms. Because they have more economic activity and a longer firm history, large firms have …"
"Machine learning in finance: A topic modeling approach","We provide a first comprehensive structuring of the literature applying machine learning to finance. We use a probabilistic topic modeling approach to make sense of this diverse body of research spanning across the disciplines of finance, economics, computer sciences, and …"
"Big Data in Finance: Highlights from the Big Data in Finance Conference Hosted at the University of Michigan October 27-28, 2016","How can financial data be made more accessible and more secure, as well as more useful to regulators, market participants, and the public? As new data sets are created, opportunities emerge. Vast quantities of financial data may help identify emerging risks …"
"Expert Systems in Finance: Smart Financial Applications in Big Data Environments","Throughout the industry, financial institutions seek to eliminate cumbersome authentication methods, such as PINs, passwords, and security questions, as these antiquated tactics prove increasingly weak. Thus, many organizations now aim to implement emerging …"
"Comments on: Big data in finance and the growth of large firms, by Juliane Begenau & Maryam Farboodi & Laura Veldkamp","So what is big data? A few years ago you could strike up a good conversation at Carnegie Mellon 
by stopping any undergrad and asking “How big does data need to be before it is big data?” 
Now, the conversation needs to include VC funding or you do not get much of a reply …"
"Finance Big Data: Management, Analysis, and Applications","Big Data is an emerging paradigm in almost all industries. Finance big data (FBD) is becoming one of the most promising areas of management and governance in the financial sector. It is significantly changing business models in financial companies. Many …"
"Machine learning for quantitative finance: fast derivative pricing, hedging and fitting","In this paper, we show how we can deploy machine learning techniques in the context of traditional quant problems. We illustrate that for many classical problems, we can arrive at speed-ups of several orders of magnitude by deploying machine learning techniques based …"
"Comparison of individual, ensemble and integrated ensemble machine learning methods to predict China's SME credit risk in supply chain finance","Supply chain finance (SCF) becomes more important for small-and medium-sized enterprises (SMEs) due to global credit crunch, supply chain financing woes and tightening credit criteria for corporate lending. Currently, predicting SME credit risk is significant for …"
"How Do the Global Stock Markets Influence One Another? Evidence from Finance Big Data and Granger Causality Directed Network","The recent financial network analysis approach reveals that the topologies of financial markets have an important influence on market dynamics. However, the majority of existing Finance Big Data networks are built as undirected networks without information on the …"
"Big Data Finance and Financial Markets","Financial markets are always the most aggressive adopters of new information technologies. The recent boom in big data has enhanced the effect of information diffusion in financial markets since the physical cost of participation has been reduced and interactions among …"
