"Titles","Abstracts"
"To do more, better, faster and more cheaply: Using big data in public administration","Big data have become a game-changer for modern public administration in those areas in which they are used. Although their application is still limited in the public sector, their use develops dynamically in areas where they bring tangible results in terms of efficiency and …"
"Public administration, public leadership and the construction of public value in the age of the algorithm and 'big data'","Public administration scholarship has to a significant degree neglected technological change. The age of the algorithm and 'big data'is throwing up new challenges for public leadership, which are already being confronted by public leaders in different jurisdictions …"
"Towards the Automation of the Travel Management Procedure of an Italian Public Administration","Recently the Public Administrations pay a lot of attention to decreases the time required for document production and validation specifically in case of travel management. In this paper we describe the procedural steps followed to implement a first prototype framework for …"
"The application of artificial intelligence in public administration for forecasting high crime risk transportation areas in urban environment","Public administration has adopted information and communication technology in order to construct new intelligent systems and design new risk prevention strategies in transportation management. The ultimate goal is to improve the quality of the transportation services and …"
"Towards the Automation of the Travel Management Procedure of an Italian Public Administration","Abstract Recently the Public Administrations pay a lot of attention to decreases the time required for document production and validation specifically in case of travel management. In this paper we describe the procedural steps followed to implement a first prototype …"
"… development of the country and the improvement of its public administration. Part 2. On prospects for using artificial intelligence in Russia for public administration","The article is devoted to the problems of using artificial intelligence as a strategic tool for improving public administration and economic development within the framework of the conventional and digital economy. Based on the Russian theory and practice of applying …"
"Machine learning for public administration research, with application to organizational reputation","Abstract Machine learning methods have gained a great deal of popularity in recent years among public administration scholars and practitioners. These techniques open the door to the analysis of text, image and other types of data that allow us to test foundational theories …"
"An information system for judicial and public administration using artificial intelligence and geospatial data","The adoption of information technology in judicial and public administration has become a major need nowadays with the rapid growth of information regarding managerial issues. This paper presents an advanced methodology developed by using Information and …"
"[PDF][PDF] Artificial intelligence and regression analysis in predicting ground water levels in public administration","Water level prediction of ground water can be considered as a very important tool in water resources management. This research implements artificial neural network models in order to build the optimal forecasting models for predicting the water levels and regression …"
"A Study on Conversational Public Administration Service of the Chatbot Based on Artificial Intelligence","Artificial intelligence-based services are expanding into a new industrial revolution. There is artificial intelligence technology applied in real life due to the development of big data and deep learning related technology. And data analysis and intelligent assistant services that …"
"Public Administration Curriculum-Based Big Data Policy-Analytic Epistemology: Symbolic IoT Action-Learning Solution Model","The equilibration that underscores the internet of things (IoT) and big data analytics (BDA) cannot be underestimated at the behest of real-life social challenges and significant policy data generated to redress the concerns of epistemic communities, such as political policy …"
"Digital and Intelligent Public Administration: transformations in the era of artificial intelligence","This article addresses the impact of the digital era and it specifically refers to information and communication technologies (ICT) in Public Administration. It is based on the international approach and underscores the importance of incorporating new technologies established by …"
"13th Annual Public Administration Research Conference “Evidence-Based Policymaking: Using Big Data to Evaluate Public Sector Innovation and Improve …","With increasing availability of data and growing public attention on government performance, the potential for evidence-based policymaking is great. While policymakers with differing ideological viewpoints disagree on the size and scope of government service …"
