"from","to","Matches"
"Accomodation and food service activities","A Network Tour of Data Science",7
"Accomodation and food service activities","Apllied Computational Intelligence",1
"Accomodation and food service activities","Applied data analysis",24
"Accomodation and food service activities","Artificial Intelligence and Data Science",9
"Accomodation and food service activities","Autonomous Robots",1
"Accomodation and food service activities","Bid Data Measuring Systems",6
"Accomodation and food service activities","Big Data",21
"Accomodation and food service activities","Biomedical Informatics",2
"Accomodation and food service activities","Cloud Computing and Virtualization",1
"Accomodation and food service activities","Computational Intelligence Lab",1
"Accomodation and food service activities","Data Analysis and Integration",3
"Accomodation and food service activities","Data Analystics for Smart Grids",9
"Accomodation and food service activities","Data Mining",2
"Accomodation and food service activities","Data visualization",2
"Accomodation and food service activities","Database Systems",1
"Accomodation and food service activities","Deep Learning",1
"Accomodation and food service activities","Distributed information systems",1
"Accomodation and food service activities","Energy-Efficient Parallel Computing Systems for Data Analytics",1
"Accomodation and food service activities","Enterprise Integration",2
"Accomodation and food service activities","High Performance Computing Systems",1
"Accomodation and food service activities","Information Retrieval",11
"Accomodation and food service activities","Information security and privacy",1
"Accomodation and food service activities","Lab in data science",18
"Accomodation and food service activities","Language Engineering",1
"Accomodation and food service activities","Machine Learning",7
"Accomodation and food service activities","Optimization for Data Science",4
"Accomodation and food service activities","Probabilistic Artificial Intelligence",1
"Accomodation and food service activities","Reliable and Interpretable Artificial Intelligence",1
"Accomodation and food service activities","Statistical Modelling of Spatial Data",2
"Accomodation and food service activities","Systems for data science",2
"Accomodation and food service activities","Time Series Analysis",1
"Agriculture, forestry and fishing","A Network Tour of Data Science",14
"Agriculture, forestry and fishing","Applied biostatistics",2
"Agriculture, forestry and fishing","Applied data analysis",28
"Agriculture, forestry and fishing","Artificial Intelligence and Data Science",10
"Agriculture, forestry and fishing","Bid Data Measuring Systems",4
"Agriculture, forestry and fishing","Big Data",20
"Agriculture, forestry and fishing","Bioinformatics",1
"Agriculture, forestry and fishing","Biomedical Informatics",2
"Agriculture, forestry and fishing","Computational Intelligence Lab",1
"Agriculture, forestry and fishing","Data Analysis and Integration",8
"Agriculture, forestry and fishing","Data Analystics for Smart Grids",17
"Agriculture, forestry and fishing","Data Mining",5
"Agriculture, forestry and fishing","Data visualization",4
"Agriculture, forestry and fishing","DD2437 Artificial Neural Networks and Deep Architectures",1
