"name","group"
"Accomodation and food service activities","Accomodation and food service activities"
"Agriculture, forestry and fishing","Agriculture, forestry and fishing"
"Arts, entertainment and recreation","Arts, entertainment and recreation"
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding"
"Human health and social work activities","Human health and social work activities"
"Legal and accounting activities","Legal and accounting activities"
"Public administration and defence, compulsory social security","Public administration and defence, compulsory social security"
"Real estate activities","Real estate activities"
"Water supply, sewerage, waste management and remediation activities","Water supply, sewerage, waste management and remediation activities"
"A Network Tour of Data Science","Course"
"Apllied Computational Intelligence","Course"
"Applied data analysis","Course"
"Artificial Intelligence and Data Science","Course"
"Autonomous Robots","Course"
"Bid Data Measuring Systems","Course"
"Big Data","Course"
"Biomedical Informatics","Course"
"Cloud Computing and Virtualization","Course"
"Computational Intelligence Lab","Course"
"Data Analysis and Integration","Course"
"Data Analystics for Smart Grids","Course"
"Data Mining","Course"
"Data visualization","Course"
"Database Systems","Course"
"Deep Learning","Course"
"Distributed information systems","Course"
"Energy-Efficient Parallel Computing Systems for Data Analytics","Course"
"Enterprise Integration","Course"
"High Performance Computing Systems","Course"
"Information Retrieval","Course"
"Information security and privacy","Course"
"Lab in data science","Course"
"Language Engineering","Course"
"Machine Learning","Course"
"Optimization for Data Science","Course"
"Probabilistic Artificial Intelligence","Course"
"Reliable and Interpretable Artificial Intelligence","Course"
"Statistical Modelling of Spatial Data","Course"
"Systems for data science","Course"
"Time Series Analysis","Course"
"Applied biostatistics","Course"
"Bioinformatics","Course"
"DD2437 Artificial Neural Networks and Deep Architectures","Course"
"Decision Support Models","Course"
"Information Security","Course"
"Information Visualization","Course"
"Mathematical foundations of signal processing","Course"
"Mobile and Wireless Networks","Course"
"Remote Sensing","Course"
"Simulation Methods","Course"
"Statistical Methods in Data Mining","Course"
"3D Vision","Course"
"Applications of Artificial Intelligence","Course"
"Computer Vision","Course"
"Deep Learning ","Course"
"Evolutionary Computing","Course"
"Human computer interaction","Course"
"Intelligent Agents and Multi-Agent Systems","Course"
"Knowledge Representation","Course"
"Machine Perception","Course"
"Model Driven Engineering","Course"
"Natural Language","Course"
"Natural Language Processing","Course"
"Optimization for machine learning","Course"
"Programming Paradigms","Course"
"Research Methodology","Course"
"Virtual reality","Course"
"Big Data, Law, and Policy","Course"
"Distributed Artificial Intelligence","Course"
"Hardware Architectures for Machine Learning","Course"
"Learning theory","Course"
"Network Science","Course"
"Numerical Methods for Partial Differential Equations","Course"
"Principles of Distributed Computing","Course"
"Program Analysis for System Security and Reliability","Course"
"Statistical Learning Theory","Course"
"Advanced Topics in Machine Learning","Course"
"Artificial Intelligence for Robotics","Course"
"Automated Planning","Course"
"Bayesian Networks","Course"
"Computer and network security","Course"
"DD2424 Deep Learning in Data Science","Course"
"DD2425 Robotics and Autonomous Systems","Course"
"Machine learning","Course"
"Multivariate Statistics","Course"
"Risk, rare events and extremes","Course"
"Software security","Course"
"Statistical theory","Course"
"System Security","Course"
"Web Science","Course"
"Advanced Machine Learning","Course"
"Computational Statistics","Course"
"Computer vision","Course"
"Data Administration in Information Systems","Course"
"DD2423 Image Analysis and Computer Vision","Course"
"Fairness, Explainability, and Accountability for ML","Course"
"Intelligent agents","Course"
"Introduction to natural language processing","Course"
"Ontological Engineering","Course"
"OPERATIONS RESEARCH","Course"
"Estimation and Testing under Sparsity","Course"
"Evolutionary Computation","Course"
"Advanced topics on privacy enhancing technologies","Course"
"Artificial neural networks","Course"
"Decision Support Sytems","Course"
"Distributed intelligent systems","Course"
"How To Write Fast Numerical Code","Course"
"Logistics Management and Operations","Course"
"Topics in Networks and Distributed Systems","Course"
"Advanced Algorithms","Course"
"Algorithmic Foundations of Data Science","Course"
"Massively Parallel Algorithms","Course"
