"Course_name","Course_content","Course_Prerequisites","Course_Main_themes","Course_Main_Aims","Course_master"
"EU Internal Market Law","This course covers the core of substantive EU law, namely internal market law. More precisely, it deals with the four freedoms: free movement of goods, freedom of establishment, freedom to provide services and free movement of capital. It also covers citizenship and offers a brief introduction to EU competition law.      This course complements the basic course on EU law [LDROI1226], which focuses on EU institutions and deals with how legislation is produced as well as enforcement mechanisms of EU law.    This course focuses on the content of (some) EU rules. It is complementary with other courses that cover other aspects of EU substantive law such as free movement of (natural) persons [LDREU2205], EU competition law [LDREU2208] or Firms and antitrust [LDFIRM2207], EU consumer law [LDREU2207] or EU labour law [LDROP2143].","EU law [LDROI1226] or similar course covering institutional aspects of EU law and enforcement mechanisms.  	   	Contents  	1.       The internal market toolbox  	2.      Free movement of goods  	3.       Free movement of persons and services  	a.      Free movement of workers  	b.      Freedom of establishment  	c.       Freedom to provide services  	d.      European Citizenship  	4.      Free movement of capital  	5.      Brief introduction to competition law (art. 101 and 102 TFEU)  	The methods which characterise European legislation on one hand (harmonisation, mutual recognition, administrative cooperation) and case-law of the Court of Justice of the European Union on the other (typical patterns of reasoning) will be emphasised throughout the course. ","This course covers the core of substantive EU law, namely internal market law. More precisely, it deals with the four freedoms: free movement of goods, freedom of establishment, freedom to provide services and free movement of capital. It also covers citizenship and offers a brief introduction to EU competition law.  	This course complements the basic course on EU law [LDROI1226], which focuses on EU institutions and deals with how legislation is produced as well as enforcement mechanisms of EU law. This course focuses on the content of (some) EU rules. It is complementary with other courses that cover other aspects of EU substantive law such as free movement of (natural) persons [LDREU2205], EU competition law [LDREU2208] or Firms and antitrust [LDFIRM2207], EU consumer law [LDREU2207] or EU labour law [LDROP2143].","Learning outcomes specific to EU lawAfter taking this course, you will have a basic command of internal market law and possess the know-how to apply the relevant legal rules in simple factual situations. You will be familiar with how various sources of European law interact, in particular treaty and directives.  	Generic learning outcomesThis course also aims to provide opportunities to acquire horizontal skills that are useful beyond the practice of European law, in particular: 1) being able to identify legal rules applicable to a given factual situation and relevant in order to reach a practical aim; 2) being able to present in writing the legal analysis of a given factual situation clearly and correctly. At the end of the course, you will be able to identify whether or not European law governs a given factual situation. You will be capable of solving simple problems involving one or several of the four freedoms and develop on your own a legal reasoning following the most common patterns which will have been studied during the course.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Law"
"EU Internal Market Law","This course covers the core of substantive EU law, namely internal market law. More precisely, it deals with the four freedoms: free movement of goods, freedom of establishment, freedom to provide services and free movement of capital. It also covers citizenship and offers a brief introduction to EU competition law.      This course complements the basic course on EU law [LDROI1226], which focuses on EU institutions and deals with how legislation is produced as well as enforcement mechanisms of EU law.    This course focuses on the content of (some) EU rules. It is complementary with other courses that cover other aspects of EU substantive law such as free movement of (natural) persons [LDREU2205], EU competition law [LDREU2208] or Firms and antitrust [LDFIRM2207], EU consumer law [LDREU2207] or EU labour law [LDROP2143].","EU law [LDROI1226] or similar course covering institutional aspects of EU law and enforcement mechanisms.  	   	Contents  	1.       The internal market toolbox  	2.      Free movement of goods  	3.       Free movement of persons and services  	a.      Free movement of workers  	b.      Freedom of establishment  	c.       Freedom to provide services  	d.      European Citizenship  	4.      Free movement of capital  	5.      Brief introduction to competition law (art. 101 and 102 TFEU)  	The methods which characterise European legislation on one hand (harmonisation, mutual recognition, administrative cooperation) and case-law of the Court of Justice of the European Union on the other (typical patterns of reasoning) will be emphasised throughout the course. ","This course covers the core of substantive EU law, namely internal market law. More precisely, it deals with the four freedoms: free movement of goods, freedom of establishment, freedom to provide services and free movement of capital. It also covers citizenship and offers a brief introduction to EU competition law.  	This course complements the basic course on EU law [LDROI1226], which focuses on EU institutions and deals with how legislation is produced as well as enforcement mechanisms of EU law. This course focuses on the content of (some) EU rules. It is complementary with other courses that cover other aspects of EU substantive law such as free movement of (natural) persons [LDREU2205], EU competition law [LDREU2208] or Firms and antitrust [LDFIRM2207], EU consumer law [LDREU2207] or EU labour law [LDROP2143].","Learning outcomes specific to EU lawAfter taking this course, you will have a basic command of internal market law and possess the know-how to apply the relevant legal rules in simple factual situations. You will be familiar with how various sources of European law interact, in particular treaty and directives.  	Generic learning outcomesThis course also aims to provide opportunities to acquire horizontal skills that are useful beyond the practice of European law, in particular: 1) being able to identify legal rules applicable to a given factual situation and relevant in order to reach a practical aim; 2) being able to present in writing the legal analysis of a given factual situation clearly and correctly. At the end of the course, you will be able to identify whether or not European law governs a given factual situation. You will be capable of solving simple problems involving one or several of the four freedoms and develop on your own a legal reasoning following the most common patterns which will have been studied during the course.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Specialised master in European law"
"European Competition Law","·         Introduction. Why do we protect competition? How do we protect competition? When do EU rules apply? Who applies EU Law? What use is economics to competition lawyers? Overview of EU substantive and procedural rules.  	·         General notions: Undertaking, Market Power, Relevant Market  	·         Article 101, paragraph 1, TFEU. Associations of undertakings. Agreements, decisions and concerted practices. The object or effect of preventing, restricting or distorting competition. The de minimis doctrine.  	·         Article 101, paragraph 3, TFEU. Exemptions. The Article 101, paragraph 3 criteria. Regulation 1/2003. Block exemptions in general. Vertical restraints block exemption (Regulation 330/2010).  	·         Article 102 basics. Key issues. Protecting competitors or protecting competition? Dominant position. Special Responsibility. Notion of abuse. Types of abuse. Commission's enforcement priorities.  	·         Article 102 TFEU. Exclusionary abuses: Refusal to Supply ' Pricing abuses ' Predatory pricing ' Margin Squeeze ' Economic analysis ' Behavioural analysis.  	·         Public enforcement of Article 101 and 102 TFEU. Overview of Regulation 1/2003 ' Commission's enforcement powers ' European Network of Competition Authorities ' Judicial Review.  	·         Private enforcement of Article 101 and 102 TFEU. Competition Law as a Defense ' Actions for injunction and for damages ' Class actions  	·         Merger Control: Merger Regulation ' National authorities and EU Commission ' Substantive analysis ' Judicial Review  	·         Member States and Competition Rules: Duty of sincere cooperation ' State Monopolies ' Prohibition of State Aids","None","Consumer law covers various fields of law, which it examines from the perspective of consumers. A choice is made of various themes to examine every year :   -	safety of consumers -	food safety  -	commercial practices.","At the end of this course, you will be able to explain (e.g. to an entrepreneur) the key rules and concepts of EU Competition law, such as relevant market, restriction of competition, abuse of a dominant position, taking into account the case law and soft law studied during the course.  	When presented with a hypothetical set of facts, you should be able to i) identify whether EU competition rules apply, ii) if so, which substantive and procedural rules apply, iii) determine which authorities would be in charge of the matter and iv) outline the main steps of the reasoning to be conducted.  	You will be able to consider substantive and procedural issues both from the point of view of undertakings and from that of enforcement authorities.  	You will be able to research European courts case law and Commission decisions.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in European Studies"
"European Competition Law","·         Introduction. Why do we protect competition? How do we protect competition? When do EU rules apply? Who applies EU Law? What use is economics to competition lawyers? Overview of EU substantive and procedural rules.  	·         General notions: Undertaking, Market Power, Relevant Market  	·         Article 101, paragraph 1, TFEU. Associations of undertakings. Agreements, decisions and concerted practices. The object or effect of preventing, restricting or distorting competition. The de minimis doctrine.  	·         Article 101, paragraph 3, TFEU. Exemptions. The Article 101, paragraph 3 criteria. Regulation 1/2003. Block exemptions in general. Vertical restraints block exemption (Regulation 330/2010).  	·         Article 102 basics. Key issues. Protecting competitors or protecting competition? Dominant position. Special Responsibility. Notion of abuse. Types of abuse. Commission's enforcement priorities.  	·         Article 102 TFEU. Exclusionary abuses: Refusal to Supply ' Pricing abuses ' Predatory pricing ' Margin Squeeze ' Economic analysis ' Behavioural analysis.  	·         Public enforcement of Article 101 and 102 TFEU. Overview of Regulation 1/2003 ' Commission's enforcement powers ' European Network of Competition Authorities ' Judicial Review.  	·         Private enforcement of Article 101 and 102 TFEU. Competition Law as a Defense ' Actions for injunction and for damages ' Class actions  	·         Merger Control: Merger Regulation ' National authorities and EU Commission ' Substantive analysis ' Judicial Review  	·         Member States and Competition Rules: Duty of sincere cooperation ' State Monopolies ' Prohibition of State Aids","None","Consumer law covers various fields of law, which it examines from the perspective of consumers. A choice is made of various themes to examine every year :   -	safety of consumers -	food safety  -	commercial practices.","At the end of this course, you will be able to explain (e.g. to an entrepreneur) the key rules and concepts of EU Competition law, such as relevant market, restriction of competition, abuse of a dominant position, taking into account the case law and soft law studied during the course.  	When presented with a hypothetical set of facts, you should be able to i) identify whether EU competition rules apply, ii) if so, which substantive and procedural rules apply, iii) determine which authorities would be in charge of the matter and iv) outline the main steps of the reasoning to be conducted.  	You will be able to consider substantive and procedural issues both from the point of view of undertakings and from that of enforcement authorities.  	You will be able to research European courts case law and Commission decisions.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Law"
"European Competition Law","·         Introduction. Why do we protect competition? How do we protect competition? When do EU rules apply? Who applies EU Law? What use is economics to competition lawyers? Overview of EU substantive and procedural rules.  	·         General notions: Undertaking, Market Power, Relevant Market  	·         Article 101, paragraph 1, TFEU. Associations of undertakings. Agreements, decisions and concerted practices. The object or effect of preventing, restricting or distorting competition. The de minimis doctrine.  	·         Article 101, paragraph 3, TFEU. Exemptions. The Article 101, paragraph 3 criteria. Regulation 1/2003. Block exemptions in general. Vertical restraints block exemption (Regulation 330/2010).  	·         Article 102 basics. Key issues. Protecting competitors or protecting competition? Dominant position. Special Responsibility. Notion of abuse. Types of abuse. Commission's enforcement priorities.  	·         Article 102 TFEU. Exclusionary abuses: Refusal to Supply ' Pricing abuses ' Predatory pricing ' Margin Squeeze ' Economic analysis ' Behavioural analysis.  	·         Public enforcement of Article 101 and 102 TFEU. Overview of Regulation 1/2003 ' Commission's enforcement powers ' European Network of Competition Authorities ' Judicial Review.  	·         Private enforcement of Article 101 and 102 TFEU. Competition Law as a Defense ' Actions for injunction and for damages ' Class actions  	·         Merger Control: Merger Regulation ' National authorities and EU Commission ' Substantive analysis ' Judicial Review  	·         Member States and Competition Rules: Duty of sincere cooperation ' State Monopolies ' Prohibition of State Aids","None","Consumer law covers various fields of law, which it examines from the perspective of consumers. A choice is made of various themes to examine every year :   -	safety of consumers -	food safety  -	commercial practices.","At the end of this course, you will be able to explain (e.g. to an entrepreneur) the key rules and concepts of EU Competition law, such as relevant market, restriction of competition, abuse of a dominant position, taking into account the case law and soft law studied during the course.  	When presented with a hypothetical set of facts, you should be able to i) identify whether EU competition rules apply, ii) if so, which substantive and procedural rules apply, iii) determine which authorities would be in charge of the matter and iv) outline the main steps of the reasoning to be conducted.  	You will be able to consider substantive and procedural issues both from the point of view of undertakings and from that of enforcement authorities.  	You will be able to research European courts case law and Commission decisions.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Specialised master in European law"
"Constitutional Law of the European Union","The course addresses the key principles of European Union constitutional law. This implies on the one hand questions of allocation of powers, both in their “vertical” dimension (between the European Union and its Member States) and in their “horizontal” dimension (between the instituitons of the Union). The course will also develop certain key subjects of substantive European Union law in their constitutional dimension (economic constituitonalism, citizenship, human rights, etc.).         In order to offer an analysis of these principles and their significance, the course will engage with two kinds of materials. On the one hand, these principles are analyzed thanks to concrete examples from the case law of the Court of Justice of the European Union and of certain national courts (eg the German constitutional court). On the other hand, the course will offers a theoretical framework allowing the interpretation of these jurisprudential developments. Students will also be confronted with multiple theoretical perspectives on these jurisprudential developments and their significance.    The course thereby also offers a general reflexion on the nature of the European Union, its strengths and its weaknesses.    As prerequisites, the course requires general prior knowledge of European Union law and its sources, and a reasonable command of written and spoken English.","Aims",NA,"Master [120] in Law 	                                                     DROI2M                                  5                                        -","Master [120] in Law"
"Constitutional Law of the European Union","The course addresses the key principles of European Union constitutional law. This implies on the one hand questions of allocation of powers, both in their “vertical” dimension (between the European Union and its Member States) and in their “horizontal” dimension (between the instituitons of the Union). The course will also develop certain key subjects of substantive European Union law in their constitutional dimension (economic constituitonalism, citizenship, human rights, etc.).         In order to offer an analysis of these principles and their significance, the course will engage with two kinds of materials. On the one hand, these principles are analyzed thanks to concrete examples from the case law of the Court of Justice of the European Union and of certain national courts (eg the German constitutional court). On the other hand, the course will offers a theoretical framework allowing the interpretation of these jurisprudential developments. Students will also be confronted with multiple theoretical perspectives on these jurisprudential developments and their significance.    The course thereby also offers a general reflexion on the nature of the European Union, its strengths and its weaknesses.    As prerequisites, the course requires general prior knowledge of European Union law and its sources, and a reasonable command of written and spoken English.","Aims",NA,"Master [120] in Law 	                                                     DROI2M                                  5                                        -","Specialised master in European law"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Public Administration"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Political Sciences: International Relations"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Political Sciences: General"
