"name","group"
"technical director","Graphic and multimedia designers"
"metal drawing machine operator","Metal processing plant operators"
"precision device inspector","Product graders and testers (excluding foods and beverages)"
"air traffic safety technician","Air traffic safety electronics technicians"
"hospitality revenue manager","Advertising and marketing professionals"
"medical laboratory assistant","Medical and pathology laboratory technicians"
"asphalt laboratory technician","Chemical engineering technicians"
"primary school teaching assistant","Teachers’ aides"
"physiotherapist","Physiotherapists"
"performing arts theatre instructor","University and higher education teachers"
"hydrogenation machine operator","Food and related products machine operators"
"pasta operator","Food and related products machine operators"
"tobacco shop manager","Retail and wholesale trade managers"
"rental service representative in machinery, equipment and tangible goods","Sales workers not elsewhere classified"
"mine surveyor","Cartographers and surveyors"
"food safety specialist","Environmental and occupational health and hygiene professionals"
"land-based machinery technician","Agricultural and industrial machinery mechanics and repairers"
"bus driver","Bus and tram drivers"
"import export manager in meat and meat products","Supply, distribution and related managers"
"housing policy officer","Policy administration professionals"
"head chef","Chefs"
"nonwoven filament machine operator","Chemical products plant and machine operators"
"head of higher education institutions","Education managers"
"insulation supervisor","Construction supervisors"
"dismantling engineer","Engineering professionals not elsewhere classified"
"insurance claims handler","Valuers and loss assessors"
"clothing development manager","Research and development managers"
"nitroglycerin separator operator","Chemical products plant and machine operators"
"biomedical engineer","Engineering professionals not elsewhere classified"
"legal guardian","Social work associate professionals"
"weaver","Handicraft workers in textile, leather and related materials"
"tile fitter","Floor layers and tile setters"
"shoe and leather accessories shop manager","Retail and wholesale trade managers"
"tour operators manager","Business services agents not elsewhere classified"
"bee breeder","Apiarists and sericulturists"
"legal administrative assistant","Legal secretaries"
"petroleum pump system operator","Petroleum and natural gas refining plant operators"
"protective clothing apparel manufacturer","Sewing machine operators"
"coating machine operator","Metal finishing, plating and coating machine operators"
"aquaculture hatchery manager","Aquaculture workers"
"gear machinist","Metal working machine tool setters and operators"
"rooms division manager","Hotel managers"
"ceramic painter","Sign writers, decorative painters, engravers and etchers"
"telecommunications engineer","Telecommunications engineers"
"adult literacy teacher","Special needs teachers"
"footwear quality manager","Manufacturing managers"
"sprinkler fitter","Plumbers and pipe fitters"
"electronic and telecommunications equipment and parts distribution manager","Supply, distribution and related managers"
"special educational needs teacher secondary school","Special needs teachers"
"performance production manager","Sports, recreation and cultural centre managers"
"metal production manager","Manufacturing managers"
"aircraft engine assembler","Mechanical machinery assemblers"
"quarry engineer","Mining engineers, metallurgists and related professionals"
"audiology equipment shop manager","Retail and wholesale trade managers"
"hardware and paint specialised seller","Shop sales assistants"
"primary school teacher","Primary school teachers"
"tram driver","Bus and tram drivers"
"container equipment assembly supervisor","Manufacturing supervisors"
"warehouse operators for clothing","Stock clerks"
"administrative assistant","Administrative and executive secretaries"
"coffee grinder","Food and related products machine operators"
"medical administrative assistant","Medical secretaries"
"ICT security administrator","Database and network professionals not elsewhere classified"
"bricklaying supervisor","Construction supervisors"
"slate mixer","Cement, stone and other mineral products machine operators"
"marine engineering technician","Mechanical engineering technicians"
"auction house manager","Sales and marketing managers"
"software analyst","Software developers"
"accounting manager","Finance managers"
"foundry manager","Business services and administration managers not elsewhere classified"
"telecommunications technician","Information and communications technology installers and servicers"
"promotions demonstrator","Sales demonstrators"
"maritime instructor","Vocational education teachers"
"foreign exchange trader","Securities and finance dealers and brokers"
"aerospace engineering technician","Mechanical engineering technicians"
"table saw operator","Wood processing plant operators"
"bridge construction supervisor","Construction supervisors"
